Categorical,Continuous,Test,Statistic,p_value,Significant,Groups,Total_n,Effect_Size,Effect_Type,Rank_Biserial,Power,Passed_Effect_Size_Filter,Passed_Power_Filter,Passed_Any_Filter,Passed_All_Filters
Gender,Q10,Mann-Whitney U,510.5,0.0168824698189698,True,2,77,0.34493243243243243,CLES,0.31013513513513513,0.616162712878541,True,True,True,True
Educational Level,Q1,Kruskal-Wallis,3.4238313693639193,0.33077612826097325,False,4,77,0.0058059091693687575,ε²,,0.1743876924576352,False,False,False,False
Educational Level,Q2,Kruskal-Wallis,0.5017694491076868,0.9185024997826472,False,4,77,0.0,ε²,,-0.9500000000000003,False,False,False,False
Educational Level,Q3,Kruskal-Wallis,4.334093955735023,0.2275747602644402,False,4,77,0.018275259667603055,ε²,,0.4923485962681399,False,False,False,False
Educational Level,Q4,Kruskal-Wallis,3.4387207949889556,0.3287972273837634,False,4,77,0.006009873903958295,ε²,,0.17935092045153683,False,False,False,False
Educational Level,Q5,Kruskal-Wallis,0.29804772575339394,0.9603952313157553,False,4,77,0.0,ε²,,-0.9500000000000003,False,False,False,False
Educational Level,Q6,Kruskal-Wallis,4.5214251726824415,0.210387153941187,False,4,77,0.02084144072167728,ε²,,0.5526692285344628,True,True,True,False
Educational Level,Q7,Kruskal-Wallis,3.247447365398347,0.35502422248994153,False,4,77,0.003389689936963656,ε²,,0.11813063360377643,False,False,False,False
Educational Level,Q8,Kruskal-Wallis,2.3966105450662334,0.49426588055549636,False,4,77,0.0,ε²,,-0.9500000000000003,False,False,False,False
Educational Level,Q9,Kruskal-Wallis,2.850957418213121,0.4151799701319877,False,4,77,0.0,ε²,,-0.9500000000000003,False,False,False,False
Educational Level,Q10,Kruskal-Wallis,1.605347728448149,0.6581778669322946,False,4,77,0.0,ε²,,-0.9500000000000003,False,False,False,False
Employment Status,Q1,Kruskal-Wallis,2.7160124412540303,0.43751300271524496,False,3,76,0.009675843800730138,ε²,,0.24732047871201726,False,False,False,False
Employment Status,Q2,Kruskal-Wallis,7.497899424658609,0.05761244930733899,False,3,76,0.07429593817106228,ε²,,0.9764263963169251,True,True,True,False
Employment Status,Q3,Kruskal-Wallis,5.227060343444916,0.1559059745237761,False,3,76,0.04360892356006643,ε²,,0.830968723463013,True,True,True,False
Employment Status,Q4,Kruskal-Wallis,0.7967827453514552,0.8502364025857173,False,3,76,0.0,ε²,,-0.9499999999999995,False,False,False,False
Employment Status,Q5,Kruskal-Wallis,0.5506718867060674,0.9076260349895108,False,3,76,0.0,ε²,,-0.9499999999999995,False,False,False,False
Employment Status,Q6,Kruskal-Wallis,3.7620090564700535,0.2883361476745424,False,3,76,0.023810933195541263,ε²,,0.5498068660346406,True,True,True,False
Employment Status,Q7,Kruskal-Wallis,0.6970448457859807,0.8738988101960964,False,3,76,0.0,ε²,,-0.9499999999999995,False,False,False,False
Employment Status,Q8,Kruskal-Wallis,1.3858196458990513,0.708862025779168,False,3,76,0.0,ε²,,-0.9499999999999995,False,False,False,False
Employment Status,Q9,Kruskal-Wallis,1.7834213322661807,0.6185492680363276,False,3,76,0.0,ε²,,-0.9499999999999995,False,False,False,False
Employment Status,Q10,Kruskal-Wallis,1.316896753958877,0.7251247390612978,False,3,76,0.0,ε²,,-0.9499999999999995,False,False,False,False
Living Situation,Q1,Kruskal-Wallis,3.358939884792704,0.3395231960123684,False,4,77,0.004916984723187724,ε²,,0.15311089871955086,False,False,False,False
Living Situation,Q2,Kruskal-Wallis,7.085356264518796,0.06922637080761929,False,4,77,0.05596378444546296,ε²,,0.9593218366191232,True,True,True,False
Living Situation,Q3,Kruskal-Wallis,3.704881508624312,0.2951455500375952,False,4,77,0.009655911077045368,ε²,,0.2716855303902939,False,False,False,False
Living Situation,Q4,Kruskal-Wallis,8.981537102857958,0.029537370640874947,True,4,77,0.08193886442271175,ε²,,0.9962657358054453,True,True,True,False
Living Situation,Q5,Kruskal-Wallis,0.26506110182242854,0.9664597751608982,False,4,77,0.0,ε²,,-0.9500000000000003,False,False,False,False
Living Situation,Q6,Kruskal-Wallis,3.366343655063844,0.33851506958845934,False,4,77,0.00501840623375129,ε²,,0.15550748586894114,False,False,False,False
Living Situation,Q7,Kruskal-Wallis,3.0897833484255726,0.3779884368868282,False,4,77,0.0012299088825420898,ε²,,0.07296091500502457,False,False,False,False
Living Situation,Q8,Kruskal-Wallis,1.825226604945123,0.609460790719103,False,4,77,0.0,ε²,,-0.9500000000000003,False,False,False,False
Living Situation,Q9,Kruskal-Wallis,7.627337689848917,0.05437530905424541,False,4,77,0.06338818753217695,ε²,,0.9784688898195498,True,True,True,False
Living Situation,Q10,Kruskal-Wallis,8.65375287603322,0.03426688575346568,True,4,77,0.07744866953470164,ε²,,0.9941763255979983,True,True,True,False
Physical Activity Level,Q1,Kruskal-Wallis,1.953149653801136,0.5821873849285342,False,4,77,0.0,ε²,,-0.9500000000000003,False,False,False,False
Physical Activity Level,Q2,Kruskal-Wallis,4.816290870563561,0.18575418649046238,False,4,77,0.024880696857035086,ε²,,0.6391959483029453,True,True,True,False
Physical Activity Level,Q3,Kruskal-Wallis,10.615434067413487,0.013997943294739851,True,4,77,0.10432101462210255,ε²,,0.9996602351725853,True,True,True,False
Physical Activity Level,Q4,Kruskal-Wallis,5.14634184831621,0.16138960161973712,False,4,77,0.02940194312761931,ε²,,0.7223637170856041,True,True,True,False
Physical Activity Level,Q5,Kruskal-Wallis,3.485911772098999,0.32259391872522836,False,4,77,0.006656325645191769,ε²,,0.19525960692230038,False,False,False,False
Physical Activity Level,Q6,Kruskal-Wallis,4.457793585912684,0.21608604107944476,False,4,77,0.019969775149488826,ε²,,0.5326058000053591,False,True,True,False
Physical Activity Level,Q7,Kruskal-Wallis,1.682089831581082,0.640922949600294,False,4,77,0.0,ε²,,-0.9500000000000003,False,False,False,False
Physical Activity Level,Q8,Kruskal-Wallis,7.374142926319289,0.060881986648836636,False,4,77,0.05991976611396286,ε²,,0.9708756890411026,True,True,True,False
Physical Activity Level,Q9,Kruskal-Wallis,7.70647098442753,0.052484042821327376,False,4,77,0.06447220526613055,ε²,,0.9804421441223735,True,True,True,False
Physical Activity Level,Q10,Kruskal-Wallis,5.02753897873151,0.16979167603871112,False,4,77,0.02777450655796589,ε²,,0.6941411099606429,True,True,True,False
City,Q1,Kruskal-Wallis,14.879055692799799,0.7832857234011373,False,4,60,0.162726790312326,ε²,,0.9999998304813121,True,True,True,False
City,Q2,Kruskal-Wallis,22.362883185529398,0.3211486296522541,False,4,60,0.26524497514423834,ε²,,0.9999999999999984,True,True,True,False
City,Q3,Kruskal-Wallis,22.347735776892993,0.3219435209104961,False,4,60,0.26503747639579445,ε²,,0.9999999999999981,True,True,True,False
City,Q4,Kruskal-Wallis,16.45972740357784,0.6877253231279877,False,4,60,0.1843798274462718,ε²,,0.9999999938133312,True,True,True,False
City,Q5,Kruskal-Wallis,13.213562029339782,0.8680340920374789,False,4,60,0.1399118086210929,ε²,,0.9999958483201198,True,True,True,False
City,Q6,Kruskal-Wallis,25.384724454382386,0.1871068688687094,False,4,60,0.3066400610189368,ε²,,1.0,True,True,True,False
City,Q7,Kruskal-Wallis,16.001525250651035,0.7165296300185446,False,4,60,0.17810308562535665,ε²,,0.999999983388167,True,True,True,False
City,Q8,Kruskal-Wallis,30.107440269196037,0.06813134741910848,False,4,60,0.3713347982081649,ε²,,1.0,True,True,True,False
City,Q9,Kruskal-Wallis,17.27373589158643,0.6351339591501056,False,4,60,0.1955306286518689,ε²,,0.9999999989898741,True,True,True,False
City,Q10,Kruskal-Wallis,32.81763100188498,0.03532806965694429,True,4,60,0.4084606986559587,ε²,,1.0,True,True,True,False
