Categorical,Continuous,Test,Statistic,p_value,Significant,Groups,DOF,Effect_Size,Effect_Type,Power,Normality,Equal_Variance,Passed_Effect_Size_Filter,Passed_Power_Filter,Passed_Any_Filter,Passed_All_Filters
Physical Activity Level,Q1,Kruskal-Wallis,1.953149653801136,0.5821873849285342,False,4,3,0.0,ε²,-0.9500000000000003,False,True,False,False,False,
Physical Activity Level,Q2,Kruskal-Wallis,4.816290870563561,0.18575418649046238,False,4,3,0.038057984737345424,ε²,0.8412201248975975,False,True,True,True,True,True
Physical Activity Level,Q3,Kruskal-Wallis,10.615434067413487,0.013997943294739851,True,4,3,0.11642478469477685,ε²,0.9999176889011551,False,True,True,True,True,True
Physical Activity Level,Q4,Kruskal-Wallis,5.14634184831621,0.16138960161973712,False,4,3,0.04251813308535419,ε²,0.8840898165376151,False,True,True,True,True,True
Physical Activity Level,Q5,Kruskal-Wallis,3.485911772098999,0.32259391872522836,False,4,3,0.020079888812148637,ε²,0.535165529003979,False,True,False,True,True,
Physical Activity Level,Q6,Kruskal-Wallis,4.457793585912684,0.21608604107944476,False,4,3,0.03321342683665789,ε²,0.7809938344577465,False,True,True,True,True,True
Physical Activity Level,Q7,Kruskal-Wallis,1.682089831581082,0.640922949600294,False,4,3,0.0,ε²,-0.9500000000000003,False,True,False,False,False,
Physical Activity Level,Q8,Kruskal-Wallis,7.374142926319289,0.060881986648836636,False,4,3,0.07262355305836876,ε²,0.9907442728096533,False,True,True,True,True,True
Physical Activity Level,Q9,Kruskal-Wallis,7.70647098442753,0.052484042821327376,False,4,3,0.07711447276253419,ε²,0.9939835354998899,False,True,True,True,True,True
Physical Activity Level,Q10,Kruskal-Wallis,5.02753897873151,0.16979167603871112,False,4,3,0.04091268890177716,ε²,0.8699289103701215,False,False,True,True,True,True
City,Q1,Kruskal-Wallis,14.879055692799799,0.7832857234011373,False,4,20,0.0,ε²,-0.9500000000000003,False,False,False,False,False,
City,Q2,Kruskal-Wallis,22.362883185529398,0.3211486296522541,False,4,20,0.058997950623322776,ε²,0.9131572866258625,False,False,True,True,True,True
City,Q3,Kruskal-Wallis,22.347735776892993,0.3219435209104961,False,4,20,0.058732206612157764,ε²,0.9117550924894143,False,True,True,True,True,True
City,Q4,Kruskal-Wallis,16.45972740357784,0.6877253231279877,False,4,20,0.0,ε²,-0.9500000000000003,False,True,False,False,False,
City,Q5,Kruskal-Wallis,13.213562029339782,0.8680340920374789,False,4,20,0.0,ε²,-0.9500000000000003,False,True,False,False,False,
City,Q6,Kruskal-Wallis,25.384724454382386,0.1871068688687094,False,4,20,0.11201270972600677,ε²,0.9982255579065532,False,True,True,True,True,True
City,Q7,Kruskal-Wallis,16.001525250651035,0.7165296300185446,False,4,20,0.0,ε²,-0.9500000000000003,False,True,False,False,False,
City,Q8,Kruskal-Wallis,30.107440269196037,0.06813134741910848,False,4,20,0.1948673731437901,ε²,0.999999671232587,False,False,True,True,True,True
City,Q9,Kruskal-Wallis,17.27373589158643,0.6351339591501056,False,4,20,0.0,ε²,-0.9500000000000003,False,False,False,False,False,
City,Q10,Kruskal-Wallis,32.81763100188498,0.03532806965694429,True,4,20,0.2424145789804383,ε²,0.9999999994313745,False,True,True,True,True,True
